mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,semantic_decay_factor,test_mean,test_std
random,random,avoid_walls,exclude_walls,192,96,96,1,0.5,422.02,28.933330261136547
random,episodic_semantic,avoid_walls,include_walls,192,0,192,1,0.99,416.86,25.59387426709758
random,episodic_semantic,avoid_walls,False,192,0,192,1,0.7,408.17999999999995,28.59660119664572
random,episodic_semantic,avoid_walls,exclude_walls,192,0,192,1,0.99,402.75999999999993,36.85314640570055
semantic,semantic,random,exclude_walls,192,0,192,1,0.7,385.46,62.26211046856666
semantic,semantic,random,include_walls,192,0,192,1,0.7,385.46,62.26211046856666
semantic,semantic,random,include_walls,192,0,192,1,0.9,384.68000000000006,60.76454229235995
semantic,semantic,random,exclude_walls,192,0,192,1,0.9,384.68,60.76454229235995
semantic,semantic,random,include_walls,192,0,192,1,0.5,381.80000000000007,61.502455235543245
semantic,semantic,random,exclude_walls,192,0,192,1,0.5,381.8,61.502455235543245
semantic,semantic,random,False,192,0,192,1,0.9,378.96,59.55298817020016
semantic,semantic,random,False,192,0,192,1,0.7,376.16,59.28057354648315
random,episodic_semantic,avoid_walls,False,192,192,0,1,1.0,374.44000000000005,48.53648524563766
semantic,semantic,random,False,192,0,192,1,0.5,370.91999999999996,57.208614735894436
semantic,semantic,random,exclude_walls,192,0,192,1,0.99,367.53999999999996,56.298369425765785
semantic,semantic,random,include_walls,192,0,192,1,0.99,367.53999999999996,56.298369425765785
semantic,semantic,random,False,192,0,192,1,0.99,366.6,55.229702153823
random,episodic_semantic,avoid_walls,False,192,0,192,1,0.99,342.64,63.4600535770338
random,episodic_semantic,avoid_walls,False,192,0,192,1,0.5,333.93999999999994,28.140618330093602
episodic,episodic,random,False,192,192,0,1,1.0,315.7,31.481613681639633
random,random,random,exclude_walls,192,96,96,1,0.9,300.8,24.503061033266846
random,random,random,include_walls,192,96,96,1,0.9,300.8,24.503061033266846
random,random,random,exclude_walls,192,96,96,1,0.7,300.54,23.867182489770332
random,random,random,include_walls,192,96,96,1,0.7,300.54,23.867182489770332
random,random,random,include_walls,192,96,96,1,0.5,300.22,23.755369919241417
random,random,random,exclude_walls,192,96,96,1,0.5,300.21999999999997,23.755369919241417
random,random,random,exclude_walls,192,96,96,1,0.99,299.62,24.10521935183332
random,random,random,include_walls,192,96,96,1,0.99,299.62,24.10521935183332
random,random,random,False,192,96,96,1,0.99,298.16,24.50963892022892
random,random,random,False,192,96,96,1,0.9,297.73999999999995,26.200045801486684
random,random,random,False,192,96,96,1,0.7,295.6,24.963252993149762
random,random,random,False,192,96,96,1,0.5,294.74,24.75129087542707
random,episodic_semantic,random,False,192,192,0,1,1.0,256.5,59.17252740926315
random,episodic_semantic,random,exclude_walls,192,96,96,1,0.7,252.68,42.12459614049729
random,episodic_semantic,random,include_walls,192,96,96,1,0.7,252.68,42.124596140497296
random,episodic_semantic,random,exclude_walls,192,96,96,1,0.5,252.66000000000003,42.11349427440092
random,episodic_semantic,random,include_walls,192,96,96,1,0.5,252.66000000000003,42.11349427440092
random,episodic_semantic,random,False,192,96,96,1,0.7,252.54000000000002,41.52611708310806
random,episodic_semantic,random,exclude_walls,192,96,96,1,0.9,252.5,42.0259443677355
random,episodic_semantic,random,include_walls,192,96,96,1,0.9,252.5,42.0259443677355
random,episodic_semantic,random,False,192,96,96,1,0.5,252.48000000000002,41.494549039602774
random,episodic_semantic,random,False,192,96,96,1,0.9,252.48000000000002,41.48765599548858
random,episodic_semantic,random,False,192,96,96,1,0.99,251.3,41.087759734500004
random,episodic_semantic,random,exclude_walls,192,96,96,1,0.99,251.22000000000003,41.084225683344684
random,episodic_semantic,random,include_walls,192,96,96,1,0.99,251.22000000000003,41.084225683344684
random,random,avoid_walls,exclude_walls,192,0,192,1,0.9,249.52000000000004,19.50686033168844
random,episodic_semantic,random,exclude_walls,192,0,192,1,0.9,237.71999999999997,48.14375972023788
random,episodic_semantic,random,include_walls,192,0,192,1,0.9,237.71999999999997,48.14375972023788
random,episodic_semantic,random,False,192,0,192,1,0.9,237.53999999999996,46.73027284320091
random,random,avoid_walls,include_walls,192,0,192,1,0.9,236.34,12.887140877634575
random,episodic_semantic,random,False,192,0,192,1,0.7,235.0,46.300107991234746
random,episodic_semantic,random,exclude_walls,192,0,192,1,0.7,233.94,47.66376401418587
random,episodic_semantic,random,include_walls,192,0,192,1,0.7,233.94,47.663764014185865
random,episodic_semantic,random,False,192,0,192,1,0.99,233.4,46.98787077533945
random,episodic_semantic,random,False,192,0,192,1,0.5,233.24,45.93014696253431
random,episodic_semantic,random,exclude_walls,192,0,192,1,0.99,232.9,47.059749255600586
random,episodic_semantic,random,include_walls,192,0,192,1,0.99,232.9,47.059749255600586
random,episodic_semantic,random,exclude_walls,192,0,192,1,0.5,231.56,46.866687529630255
random,episodic_semantic,random,include_walls,192,0,192,1,0.5,231.56,46.866687529630255
random,random,avoid_walls,exclude_walls,192,0,192,1,0.7,226.63999999999996,12.467333315508975
random,random,avoid_walls,include_walls,192,0,192,1,0.99,226.18,38.378660737446275
random,random,avoid_walls,include_walls,192,0,192,1,0.7,223.3,19.80858399785305
random,random,avoid_walls,exclude_walls,192,0,192,1,0.99,218.35999999999999,24.166307123762206
random,random,avoid_walls,include_walls,192,0,192,1,0.5,218.11999999999998,12.790527745171419
random,random,avoid_walls,False,192,192,0,1,1.0,212.4,24.78685135308638
random,random,avoid_walls,False,192,0,192,1,0.9,208.74,15.46332435150993
random,random,avoid_walls,exclude_walls,192,0,192,1,0.5,206.68,18.989196928780324
random,random,avoid_walls,False,192,0,192,1,0.7,200.06,18.435682791803508
random,random,avoid_walls,False,192,0,192,1,0.99,191.07999999999998,31.415626684820413
random,random,avoid_walls,False,192,0,192,1,0.5,189.28000000000003,26.35871013536133
random,random,random,False,192,192,0,1,1.0,149.04000000000002,33.80145558995943
random,random,random,False,192,0,192,1,0.9,131.3,18.873367479069547
random,random,random,False,192,0,192,1,0.7,130.64000000000001,19.15438331035484
random,random,random,False,192,0,192,1,0.99,130.24,17.968928738241463
random,random,random,False,192,0,192,1,0.5,129.88,18.969702158969184
random,random,random,include_walls,192,0,192,1,0.9,129.54,18.15484508333794
random,random,random,exclude_walls,192,0,192,1,0.9,129.36,18.24879174082492
random,random,random,include_walls,192,0,192,1,0.7,129.18,18.876906526229348
random,random,random,exclude_walls,192,0,192,1,0.7,129.0,18.9724010077797
random,random,random,include_walls,192,0,192,1,0.99,128.62,18.196087491546088
random,random,random,exclude_walls,192,0,192,1,0.99,128.61999999999998,18.196087491546088
random,random,random,include_walls,192,0,192,1,0.5,128.56,19.0945646716546
random,random,random,exclude_walls,192,0,192,1,0.5,128.38000000000002,19.18878839322587
