mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,episodic_capacity,semantic_capacity,short_capacity,test_mean,test_std
random,random,avoid_walls,include_walls,24,0,24,1,14.819999999999999,7.299698623915923
semantic,semantic,avoid_walls,False,48,0,48,1,153.79999999999998,8.64129619906644
generalize,episodic_semantic,avoid_walls,False,48,24,24,1,148.68,13.758982520520906
generalize,episodic_semantic,avoid_walls,include_walls,48,24,24,1,139.37999999999997,7.434621711963566
episodic,episodic,avoid_walls,False,48,48,0,1,134.9,11.6884558432669
random,episodic_semantic,avoid_walls,False,48,0,48,1,133.14000000000001,9.455072712570747
semantic,semantic,random,False,48,0,48,1,125.61999999999998,16.07300843028461
random,episodic_semantic,avoid_walls,False,48,24,24,1,120.9,12.284624536386932
generalize,episodic_semantic,random,False,48,24,24,1,114.64000000000001,12.737440873268069
random,episodic_semantic,avoid_walls,False,48,48,0,1,111.55999999999999,6.394872946353196
generalize,episodic_semantic,random,include_walls,48,24,24,1,111.22,9.040884912440816
random,episodic_semantic,avoid_walls,include_walls,48,24,24,1,109.35999999999999,12.443568619973938
generalize,random,avoid_walls,False,48,24,24,1,89.72,8.825961703973114
episodic,episodic,random,False,48,48,0,1,89.24,6.952006904484489
random,episodic_semantic,random,False,48,0,48,1,87.47999999999999,14.391858809757693
semantic,semantic,avoid_walls,include_walls,48,0,48,1,81.76,8.986790305776584
random,episodic_semantic,random,False,48,24,24,1,80.34,7.163407010633976
generalize,random,avoid_walls,include_walls,48,24,24,1,76.91999999999999,5.185903971343856
random,episodic_semantic,random,False,48,48,0,1,76.91999999999999,6.38573410032081
random,episodic_semantic,random,include_walls,48,24,24,1,73.06,2.9957302949364473
semantic,semantic,random,include_walls,48,0,48,1,72.16,9.413947099915104
random,random,avoid_walls,False,48,24,24,1,70.66,8.429614463307324
generalize,random,random,False,48,24,24,1,68.67999999999999,3.407286310247496
generalize,random,random,include_walls,48,24,24,1,66.54,2.552332266770925
random,random,avoid_walls,False,48,0,48,1,61.44,3.5533646027392116
random,random,avoid_walls,include_walls,48,24,24,1,61.42,7.469779113200069
random,episodic_semantic,avoid_walls,include_walls,48,0,48,1,56.17999999999999,5.861535634968024
random,random,avoid_walls,False,48,48,0,1,55.720000000000006,2.8017137612539953
random,random,random,False,48,24,24,1,51.96,1.8183509012289139
random,random,random,False,48,0,48,1,47.620000000000005,5.039206286708255
random,episodic_semantic,random,include_walls,48,0,48,1,47.5,3.79262442116274
random,random,random,include_walls,48,24,24,1,47.08,2.3042569301186884
random,random,random,False,48,48,0,1,40.72,3.1983745871926867
random,random,avoid_walls,include_walls,48,0,48,1,32.06,6.702119067876965
random,random,random,include_walls,48,0,48,1,24.339999999999996,2.1675792949740043
semantic,semantic,avoid_walls,False,96,0,96,1,266.03999999999996,31.657327745721055
generalize,episodic_semantic,avoid_walls,False,96,48,48,1,265.65999999999997,15.932683389812288
generalize,episodic_semantic,avoid_walls,include_walls,96,48,48,1,247.01999999999998,21.33123531350212
